concurso,data,bola1,bola2,bola3,bola4,bola5,bola6,bola7,bola8,bola9,bola10,bola11,bola12,bola13,bola14,bola15,ganhadores_15_num,ganhadores_14_num,ganhadores_13_num,ganhadores_12_num,ganhadores_11_num,valor_rateio_15_num,valor_rateio_14_num,valor_rateio_13_num,valor_rateio_12_num,valor_rateio_11_num
427,18/05/2009,04,09,07,24,03,11,16,01,10,21,06,22,19,05,12,2,434,17269,247243,1264170,886616.18,1751.05,10.00,4.00,2.00
428,21/05/2009,13,17,04,14,01,20,18,24,23,11,22,15,19,03,21,2,382,25391,265762,1327398,666581.88,1495.69,10.00,4.00,2.00
429,25/05/2009,16,07,23,03,05,13,02,12,25,14,19,04,06,17,08,7,1066,28810,338670,1536903,168970.74,679.32,10.00,4.00,2.00
430,28/05/2009,05,14,02,20,15,07,25,13,22,06,04,23,09,11,03,1,407,18378,236449,1404782,1275129.30,1342.72,10.00,4.00,2.00
431,01/06/2009,24,03,18,05,12,21,13,09,15,20,22,11,01,23,02,3,727,25503,386807,1640128,355534.38,898.24,10.00,4.00,2.00
432,04/06/2009,10,15,13,06,21,12,02,17,07,20,03,23,04,19,24,12,1151,26062,270390,1329532,119469.82,762.58,10.00,4.00,2.00
433,08/06/2009,14,15,19,07,09,08,24,21,23,03,01,05,02,25,22,4,474,19541,270976,1478893,345730.12,1250.38,10.00,4.00,2.00
434,12/06/2009,21,12,03,15,17,11,13,16,04,09,23,06,25,24,18,3,595,19268,232834,1277729,388361.81,1198.85,10.00,4.00,2.00
435,15/06/2009,14,16,25,11,24,15,01,10,17,21,18,05,04,13,03,2,359,14484,215823,1337639,690715.03,1649.14,10.00,4.00,2.00
436,18/06/2009,20,03,15,25,07,23,04,06,21,19,13,10,14,18,22,4,566,18007,221994,1270949,375002.23,1135.80,10.00,4.00,2.00
437,22/06/2009,12,20,05,21,01,08,19,04,11,23,06,17,10,16,02,1,491,20628,248500,1293534,1623920.99,1417.45,10.00,4.00,2.00
438,25/06/2009,21,18,07,23,13,08,09,01,15,17,11,24,22,25,04,2,705,24534,308933,1434620,463833.28,805.61,10.00,4.00,2.00
439,29/06/2009,09,25,02,21,10,03,11,05,14,24,23,17,19,12,15,3,1050,31931,341529,1652570,331827.03,580.45,10.00,4.00,2.00
440,02/07/2009,12,01,14,19,03,13,15,21,05,22,25,24,16,08,09,4,620,21684,279245,1477709,324801.29,1282.95,10.00,4.00,2.00
441,06/07/2009,11,25,13,02,20,01,09,07,10,14,04,08,03,23,24,1,476,19887,275351,1618369,1478453.20,1331.14,10.00,4.00,2.00
442,09/07/2009,22,06,12,23,08,05,18,25,14,15,17,24,09,13,07,8,670,20117,265028,1362847,158181.99,1156.37,10.00,4.00,2.00
443,13/07/2009,23,05,12,07,18,03,16,10,17,11,19,22,21,01,02,4,508,20967,261631,1477085,417926.72,1410.33,10.00,4.00,2.00
444,16/07/2009,02,07,22,18,19,20,25,03,21,01,15,06,10,14,24,4,451,15044,195211,1144892,458498.53,1742.79,10.00,4.00,2.00
445,20/07/2009,01,15,10,02,04,12,07,20,18,21,13,16,09,11,19,4,603,23103,266477,1430795,390412.33,1109.92,10.00,4.00,2.00
446,23/07/2009,01,08,04,15,06,11,14,16,24,05,19,21,10,23,02,5,651,22372,254065,1230063,302724.08,1423.51,10.00,4.00,2.00
447,27/07/2009,18,16,25,21,24,08,22,17,05,12,01,02,19,10,20,3,409,19802,222597,1314025,589834.33,1854.18,10.00,4.00,2.00
448,30/07/2009,10,17,20,05,12,23,01,06,15,13,24,03,14,09,11,1,435,17496,247609,1473482,1329469.54,1309.82,10.00,4.00,2.00
449,03/08/2009,17,01,10,03,04,08,19,18,11,02,22,24,09,25,16,0,522,18788,250501,1422374,0.00,1433.44,10.00,4.00,2.00
450,06/08/2009,24,22,11,14,05,09,16,07,04,21,23,18,17,25,06,3,460,19788,268293,1642129,1403449.06,2296.05,10.00,4.00,2.00
451,10/08/2009,18,05,14,09,24,23,08,19,15,06,01,22,17,03,25,9,1074,30935,351167,1692152,155083.09,795.66,10.00,4.00,2.00
452,13/08/2009,18,14,20,09,17,24,12,19,25,10,11,01,06,08,07,0,336,13228,207555,1271237,0.00,2659.27,10.00,4.00,2.00
453,17/08/2009,03,24,14,04,01,19,09,02,06,25,15,11,20,21,17,4,781,29034,359976,1939899,1057914.21,1178.05,10.00,4.00,2.00
454,20/08/2009,12,06,04,24,20,17,22,19,25,03,13,11,15,07,14,0,485,20691,261766,1519792,0.00,1420.19,10.00,4.00,2.00
455,24/08/2009,07,12,18,21,19,11,01,06,04,03,23,14,05,08,25,8,729,29024,362409,1966307,457924.97,1208.83,10.00,4.00,2.00
456,27/08/2009,23,12,14,04,11,24,25,09,13,17,03,10,01,18,21,7,785,27862,346024,1732830,178670.79,975.45,10.00,4.00,2.00
457,31/08/2009,15,19,25,04,21,13,23,22,14,16,11,18,05,01,20,1,407,17580,298630,1634482,1741731.78,1834.05,10.00,4.00,2.00
458,03/09/2009,22,06,13,09,04,20,03,15,08,05,02,07,18,16,11,5,855,29344,311187,1553849,311957.52,1116.92,10.00,4.00,2.00
459,08/09/2009,11,17,10,19,23,02,14,15,01,20,04,21,03,07,12,3,757,31694,283370,1385273,367854.54,892.53,10.00,4.00,2.00
460,10/09/2009,04,09,10,01,19,15,23,11,22,17,16,12,14,06,03,8,645,20777,239996,1235607,214569.91,1140.57,12.50,5.00,2.50
461,14/09/2009,11,19,04,24,06,12,23,08,15,17,05,07,14,13,03,5,698,24686,324355,1647498,287640.29,1261.50,12.50,5.00,2.50
462,17/09/2009,18,03,07,23,17,24,21,01,08,14,05,22,16,02,12,0,558,19875,265357,1274994,0.00,1285.88,12.50,5.00,2.50
463,21/09/2009,22,19,02,09,18,23,25,20,11,03,06,13,07,17,14,7,1196,31408,347878,1782660,515681.63,990.83,12.50,5.00,2.50
464,24/09/2009,05,25,17,02,08,21,01,23,22,16,24,19,20,10,11,2,530,23200,213995,1175939,966866.22,1563.66,12.50,5.00,2.50
465,28/09/2009,07,10,01,22,09,18,06,25,11,03,21,02,19,13,04,2,455,20974,246908,1400828,830150.42,1563.86,12.50,5.00,2.50
466,01/10/2009,06,12,17,08,20,14,10,19,25,02,22,11,07,18,21,1,328,13667,199100,1156871,1976545.27,2582.60,12.50,5.00,2.50
467,05/10/2009,07,10,02,13,25,04,22,15,21,24,14,06,18,17,05,5,565,17521,213037,1251469,396907.31,1505.34,12.50,5.00,2.50
468,08/10/2009,15,09,18,17,05,13,02,06,10,21,25,03,24,22,12,8,954,23771,268374,1260272,191492.28,983.14,12.50,5.00,2.50
469,13/10/2009,06,25,05,23,13,14,19,02,22,18,11,10,07,01,08,3,617,17705,208381,1155000,465357.53,1385.31,12.50,5.00,2.50
470,15/10/2009,20,06,07,18,22,23,13,05,15,04,01,08,03,11,10,3,576,23017,268187,1174744,390100.47,1243.94,12.50,5.00,2.50
471,19/10/2009,04,25,20,12,24,16,13,15,11,06,09,03,10,14,02,1,314,14393,182221,1128926,1727808.67,2358.25,12.50,5.00,2.50
472,22/10/2009,13,06,11,02,12,01,14,07,20,08,04,17,18,15,05,3,446,14550,226525,1064480,552536.31,1592.83,12.50,5.00,2.50
473,27/10/2009,08,25,05,07,15,01,06,17,23,09,11,22,12,19,02,8,724,22640,257219,1324486,154499.63,1045.21,12.50,5.00,2.50
474,29/10/2009,03,11,10,23,16,17,21,15,12,02,05,09,01,18,24,2,461,17059,207057,1118403,733503.80,1363.81,12.50,5.00,2.50
475,03/11/2009,04,09,02,20,23,03,21,11,06,05,14,13,25,10,17,0,433,13728,161087,821107,0.00,1204.84,12.50,5.00,2.50
476,05/11/2009,06,01,13,05,10,07,24,17,09,19,16,15,14,25,11,1,424,23008,248333,1265772,2359556.64,1523.70,12.50,5.00,2.50
477,09/11/2009,08,16,07,14,04,24,02,20,06,23,18,11,25,12,10,8,1382,36503,271640,1163643,185196.45,656.35,12.50,5.00,2.50
478,12/11/2009,11,02,22,09,10,13,24,23,07,12,05,16,25,03,18,7,708,23117,261931,1302836,182665.53,1105.72,12.50,5.00,2.50
479,16/11/2009,18,15,13,23,24,03,05,22,19,02,11,08,16,14,25,1,607,21383,258022,1403421,1250813.46,1261.62,12.50,5.00,2.50
480,19/11/2009,22,07,06,24,11,08,09,12,04,25,19,18,05,17,15,2,484,18602,214612,1132768,752129.78,1331.99,12.50,5.00,2.50
481,23/11/2009,05,13,17,15,24,22,21,12,10,03,14,09,01,07,20,7,1081,26980,261385,1224712,181112.53,718.03,12.50,5.00,2.50
482,26/11/2009,25,17,15,02,21,08,10,09,22,12,06,23,07,19,16,4,242,11135,179422,989180,433783.11,3072.84,12.50,5.00,2.50
483,30/11/2009,22,05,01,07,21,06,24,17,18,04,09,14,11,12,23,5,508,20378,208730,1127835,320893.49,1353.60,12.50,5.00,2.50
484,03/12/2009,08,04,16,20,23,14,06,13,01,11,09,17,21,10,25,3,695,20032,224299,1109636,551482.24,1020.21,12.50,5.00,2.50
485,07/12/2009,25,17,22,07,06,18,24,20,03,21,16,02,11,05,04,2,211,8989,153197,967691,1047362.19,4254.69,12.50,5.00,2.50
486,10/12/2009,04,15,13,20,19,02,22,09,07,05,11,03,18,01,21,3,591,21380,272508,1295745,384852.57,1196.06,12.50,5.00,2.50
487,14/12/2009,08,07,05,17,06,24,15,14,18,21,04,09,10,22,19,5,331,13349,192877,1071367,375735.37,2432.47,12.50,5.00,2.50
488,17/12/2009,08,07,05,13,24,14,06,20,17,15,25,22,18,12,11,6,456,18355,219517,1184568,240000.26,1353.38,12.50,5.00,2.50
489,21/12/2009,23,12,17,10,11,01,05,21,18,22,25,02,14,07,19,1,773,26471,262837,1315551,1314020.28,1040.75,12.50,5.00,2.50
490,24/12/2009,10,21,12,23,17,05,13,16,14,08,22,06,18,03,11,3,360,12787,164246,889574,420057.19,1500.20,12.50,5.00,2.50
491,28/12/2009,01,23,13,02,16,11,03,07,25,24,09,21,22,12,20,10,575,16674,188823,1024321,125888.45,1340.42,12.50,5.00,2.50
492,31/12/2009,15,03,11,01,12,08,24,06,02,04,14,21,19,25,18,2,273,10832,147080,784911,571428.57,1794.13,12.50,5.00,2.50
493,04/01/2010,22,13,25,15,17,12,01,05,14,18,07,04,21,10,08,1,522,16064,182362,960295,1153381.96,1352.78,12.50,5.00,2.50
494,07/01/2010,12,04,07,03,20,13,05,18,08,19,16,15,21,22,02,1,410,17607,201733,1055673,1616972.81,1690.22,12.50,5.00,2.50
495,11/01/2010,01,09,24,03,07,06,13,11,08,25,17,22,04,15,19,14,1763,35188,315606,1359905,69850.67,339.60,12.50,5.00,2.50
496,14/01/2010,19,11,21,22,17,14,05,16,07,09,24,13,15,04,03,4,1104,28763,286168,1332039,270015.19,598.96,12.50,5.00,2.50
497,18/01/2010,02,16,04,05,25,17,11,09,03,08,12,14,01,23,19,1,660,19661,241297,1275136,1452743.77,1347.62,12.50,5.00,2.50
498,21/01/2010,11,14,20,05,16,02,23,13,22,04,15,01,06,25,18,1,394,19783,214251,1145546,1500332.47,1631.98,12.50,5.00,2.50
499,25/01/2010,19,07,03,02,25,12,24,10,01,11,20,15,17,04,21,5,668,22310,232278,1158584,259345.38,1188.49,12.50,5.00,2.50
500,28/01/2010,25,16,02,05,13,21,23,08,18,06,14,03,10,20,09,11,1761,41880,310156,1174557,99248.36,379.56,12.50,5.00,2.50
501,01/02/2010,18,03,25,17,21,23,02,12,19,04,15,09,24,06,01,9,692,21741,270699,1326696,148820.58,1185.01,12.50,5.00,2.50
502,04/02/2010,23,02,10,05,19,13,04,03,16,01,06,08,24,11,18,2,457,18368,226048,1214288,739979.76,1387.89,12.50,5.00,2.50
503,08/02/2010,01,02,14,12,03,17,05,07,20,25,11,15,21,24,04,3,597,38355,269717,1289118,422012.08,1298.36,12.50,5.00,2.50
504,11/02/2010,16,15,20,10,17,13,18,14,09,21,12,19,01,23,06,0,274,10689,162296,982144,0.00,3099.58,12.50,5.00,2.50
505,13/02/2010,03,06,19,24,16,21,17,15,22,07,18,11,20,04,09,1,210,8418,125363,702501,3246835.18,2581.99,12.50,5.00,2.50
506,18/02/2010,21,20,19,04,11,09,15,12,06,16,24,17,22,05,13,1,395,14552,206308,995591,1526982.41,1656.76,12.50,5.00,2.50
507,22/02/2010,08,24,09,11,03,20,21,01,06,10,23,05,02,12,25,6,406,15636,212701,1221538,254800.40,1613.80,12.50,5.00,2.50
508,25/02/2010,14,15,19,08,05,02,07,09,03,25,06,16,24,18,23,5,495,19303,229983,1116568,281746.45,1219.68,12.50,5.00,2.50
509,01/03/2010,20,11,17,01,03,24,15,09,25,05,12,06,19,16,22,9,898,25538,265722,1269135,160612.17,985.52,12.50,5.00,2.50
510,04/03/2010,23,03,21,04,20,07,06,13,25,01,22,10,11,12,02,4,509,18319,214225,1238241,413048.98,1391.13,12.50,5.00,2.50
511,08/03/2010,24,13,11,17,25,05,12,19,01,21,18,14,10,07,02,5,751,26939,251711,1386659,294214.41,1199.27,12.50,5.00,2.50
512,12/03/2010,09,02,12,15,16,05,24,06,21,07,01,04,10,08,13,1,282,10972,188835,919784,1661076.85,2524.44,12.50,5.00,2.50
513,15/03/2010,15,20,18,17,22,02,23,03,01,09,10,13,25,11,06,5,1040,26822,279101,1423069,236824.24,697.08,12.50,5.00,2.50
514,18/03/2010,01,07,24,25,08,11,22,17,09,12,15,05,06,18,21,2,595,20989,218580,1180373,763862.20,1100.40,12.50,5.00,2.50
515,22/03/2010,11,18,14,05,03,17,07,20,25,09,10,02,13,24,12,6,884,26458,288568,1350255,202043.33,839.59,12.50,5.00,2.50
516,25/03/2010,08,07,23,11,21,04,20,06,18,05,14,24,12,02,13,1,472,18207,210820,1094470,1564230.58,1420.30,12.50,5.00,2.50
517,29/03/2010,09,21,07,23,12,17,11,03,13,22,08,01,04,06,05,1,453,18492,238232,1347231,1293222.34,1223.49,12.50,5.00,2.50
518,01/04/2010,19,13,11,20,14,17,24,10,05,16,12,06,04,07,22,1,309,12294,175675,964462,1704237.56,2363.72,12.50,5.00,2.50
519,05/04/2010,23,09,17,19,24,16,03,12,15,11,07,25,13,02,21,8,1120,33226,297943,1208184,70254.06,307.23,12.50,5.00,2.50
520,08/04/2010,15,12,24,10,14,04,18,06,05,22,20,09,02,23,19,5,787,22526,241184,1169925,304073.80,1182.76,12.50,5.00,2.50
521,12/04/2010,19,09,05,17,12,11,02,10,06,23,04,20,13,01,03,4,617,22112,255951,1431712,320079.25,1270.44,12.50,5.00,2.50
522,15/04/2010,16,25,11,06,19,22,23,04,02,21,07,09,17,18,24,1,341,15323,198246,1114898,1779817.90,2236.89,12.50,5.00,2.50
523,19/04/2010,02,19,11,13,04,08,16,25,24,17,12,05,09,10,18,2,675,20538,221803,1234488,777355.86,1410.16,12.50,5.00,2.50
524,22/04/2010,03,11,07,22,05,02,17,23,20,24,12,06,14,10,21,4,551,17994,201564,1085636,333599.98,1482.72,12.50,5.00,2.50
525,26/04/2010,04,09,03,25,15,21,17,16,20,22,18,06,10,13,11,4,494,15966,212745,1120415,422783.22,1467.15,12.50,5.00,2.50
526,29/04/2010,04,08,24,12,07,10,01,15,02,25,09,11,16,19,14,4,410,17338,207248,1171704,348184.93,1455.83,12.50,5.00,2.50
527,03/05/2010,11,05,14,02,06,09,22,23,12,19,15,24,01,16,17,3,656,21327,241186,1166896,464997.39,1301.94,12.50,5.00,2.50
528,06/05/2010,06,23,10,04,12,15,07,24,11,25,02,19,03,21,08,1,437,15652,222396,1238471,1526533.47,1497.09,12.50,5.00,2.50
529,10/05/2010,23,16,25,07,19,05,18,03,20,17,22,11,06,02,12,1,348,13505,189493,1126684,1744474.56,2148.37,12.50,5.00,2.50
530,13/05/2010,11,16,10,03,08,23,14,09,18,04,07,06,12,21,22,2,332,13200,183705,1071544,921212.78,2378.35,12.50,5.00,2.50
531,17/05/2010,14,03,12,21,01,15,23,25,22,07,16,17,10,13,02,1,357,13299,188391,1214710,1750987.00,2102.03,12.50,5.00,2.50
532,20/05/2010,24,07,02,09,15,06,16,05,19,12,01,11,22,04,13,4,856,27798,290052,1324573,260411.23,745.02,12.50,5.00,2.50
533,24/05/2010,20,10,08,24,25,18,13,16,09,01,11,17,02,03,14,2,563,19464,217320,1115689,825816.73,1257.27,12.50,5.00,2.50
534,27/05/2010,03,24,02,22,05,18,07,01,19,08,12,21,11,13,15,8,651,21381,246416,1296022,141434.12,1064.11,12.50,5.00,2.50
535,31/05/2010,01,25,13,04,05,24,23,11,15,19,21,16,09,06,17,8,1498,40961,360660,1416452,105001.52,343.31,12.50,5.00,2.50
536,04/06/2010,03,19,16,04,20,11,17,09,15,22,23,05,25,24,07,3,380,16892,233261,1174458,358144.31,1211.77,12.50,5.00,2.50
537,07/06/2010,10,18,06,24,11,17,22,23,15,04,02,09,14,01,20,3,498,15557,185784,967245,505475.29,1305.01,12.50,5.00,2.50
538,10/06/2010,12,16,06,18,10,24,19,20,13,17,11,25,21,05,02,2,308,12973,188621,1136757,864843.03,2406.80,12.50,5.00,2.50
539,14/06/2010,12,04,05,16,06,14,02,13,08,01,21,09,15,23,19,2,575,20840,234195,1245413,701454.48,1493.78,12.50,5.00,2.50
540,17/06/2010,13,11,12,07,18,16,09,22,15,24,19,20,02,06,08,2,353,15332,216759,1082704,724630.15,1759.52,12.50,5.00,2.50
541,21/06/2010,09,03,20,17,19,10,22,06,04,13,25,14,05,24,15,13,697,20672,235534,1177329,106439.22,1215.45,12.50,5.00,2.50
542,24/06/2010,18,13,08,02,04,17,22,10,24,05,09,16,01,03,20,2,251,11695,171471,964323,780319.96,2664.72,12.50,5.00,2.50
543,28/06/2010,07,20,15,01,13,17,25,24,14,16,22,11,08,10,05,1,566,16716,186405,907421,1258973.12,1361.83,12.50,5.00,2.50
544,01/07/2010,18,19,09,21,05,08,07,04,02,14,15,13,11,24,23,8,1188,26674,264609,1304943,131506.97,542.18,12.50,5.00,2.50
545,05/07/2010,18,24,01,23,13,12,11,05,25,07,06,14,15,17,03,5,559,19089,255175,1318074,243944.00,1335.89,12.50,5.00,2.50
546,08/07/2010,05,17,10,04,09,13,03,19,18,12,21,08,11,02,23,10,1362,29268,298934,1399866,99495.51,447.25,12.50,5.00,2.50
547,12/07/2010,25,14,09,10,06,05,17,20,04,01,02,12,24,19,16,4,525,18363,219631,1162495,364055.20,1188.75,12.50,5.00,2.50
548,15/07/2010,20,23,06,13,09,14,03,04,01,02,07,25,05,08,17,3,499,15092,207442,1225078,511311.21,1317.44,12.50,5.00,2.50
549,19/07/2010,22,10,20,14,13,09,07,03,04,15,17,16,21,23,11,3,516,17316,218298,1163801,547465.83,1364.12,12.50,5.00,2.50
550,22/07/2010,16,22,14,13,11,01,09,21,17,06,10,05,18,20,07,0,364,14046,182316,1038543,0.00,2128.59,12.50,5.00,2.50
551,26/07/2010,10,12,20,19,13,18,24,16,21,14,08,22,03,07,17,4,516,19374,251668,1412653,1006624.34,1842.71,12.50,5.00,2.50
552,29/07/2010,01,24,22,04,08,13,17,20,06,10,25,12,03,05,23,5,534,18315,219362,1196146,300996.01,1207.85,12.50,5.00,2.50
553,02/08/2010,10,23,21,07,14,15,17,08,12,04,05,24,13,18,09,6,552,21395,258936,1319433,236490.57,1101.66,12.50,5.00,2.50
554,05/08/2010,13,03,22,04,25,20,19,06,09,24,21,17,02,14,01,2,921,19962,225349,1190896,808008.00,1074.26,12.50,5.00,2.50
555,09/08/2010,07,24,16,01,02,17,14,08,10,20,12,06,09,23,18,2,367,15698,200568,1148222,934301.32,2182.10,12.50,5.00,2.50
556,12/08/2010,08,11,18,20,25,01,04,09,22,23,14,13,16,17,24,1,410,16469,214203,1182087,1649889.50,1724.62,12.50,5.00,2.50
557,16/08/2010,07,18,12,09,08,21,14,05,17,15,23,10,20,19,01,8,861,18470,244201,1257223,190268.59,1082.37,12.50,5.00,2.50
558,19/08/2010,14,07,25,05,24,04,20,17,21,03,18,22,12,10,01,4,799,22708,236911,1159379,363422.60,1113.91,12.50,5.00,2.50
559,23/08/2010,19,14,16,01,07,11,05,10,21,23,02,20,22,13,09,8,686,19343,226706,1195704,201461.22,1438.40,12.50,5.00,2.50
560,26/08/2010,01,04,18,21,23,25,12,24,10,19,09,20,02,14,17,4,604,20649,244953,1235083,314489.59,1275.13,12.50,5.00,2.50
561,30/08/2010,07,12,15,06,02,03,17,09,11,21,10,20,04,13,18,2,715,18107,220613,1249894,755984.07,1294.67,12.50,5.00,2.50
562,02/09/2010,03,22,16,08,13,14,24,05,18,21,20,01,07,19,02,0,426,15885,219713,1121876,0.00,1683.32,12.50,5.00,2.50
563,06/09/2010,06,20,12,03,01,04,23,05,09,19,07,22,16,24,11,1,549,22041,247821,1352794,3849193.68,1698.66,12.50,5.00,2.50
564,09/09/2010,09,19,03,14,24,12,15,21,17,23,07,04,01,20,02,6,1484,35027,318247,1357895,174322.76,431.51,12.50,5.00,2.50
565,13/09/2010,24,06,07,12,21,01,09,17,18,04,20,15,19,10,23,4,696,26403,308783,1310061,387484.25,1363.42,12.50,5.00,2.50
566,16/09/2010,05,20,16,04,01,09,07,17,03,14,15,21,11,19,10,1,597,19734,269743,1352743,1442873.72,1479.71,12.50,5.00,2.50
567,20/09/2010,01,14,10,05,15,09,25,12,13,02,07,17,24,21,08,1,484,19068,258278,1433615,1396811.92,1236.85,12.50,5.00,2.50
568,23/09/2010,15,16,04,09,13,06,01,20,05,18,17,07,08,21,02,2,296,12319,188348,1093798,945550.01,2738.08,12.50,5.00,2.50
569,27/09/2010,19,25,07,06,18,17,12,16,13,01,02,08,22,24,20,3,424,14729,191379,1107683,649261.12,1968.78,12.50,5.00,2.50
570,30/09/2010,20,10,18,21,14,05,02,01,15,12,22,23,04,19,03,5,1211,14428,180764,1141748,340385.74,860.44,12.50,5.00,2.50
571,04/10/2010,25,03,11,15,05,24,12,06,19,04,20,18,07,16,21,1,409,12619,167577,1045766,2000714.60,2096.46,12.50,5.00,2.50
572,07/10/2010,21,05,15,13,16,09,22,10,19,14,06,17,08,02,24,8,537,17762,206388,1132891,208278.57,1329.79,12.50,5.00,2.50
573,11/10/2010,11,24,22,02,20,10,14,01,07,03,12,23,18,25,16,10,738,22769,237282,1175010,144750.16,1200.84,12.50,5.00,2.50
574,14/10/2010,06,19,20,16,18,25,14,12,22,01,21,11,13,23,05,2,236,11996,178066,985987,895020.07,3250.68,12.50,5.00,2.50
575,18/10/2010,15,21,03,16,13,05,08,24,09,22,19,12,17,10,18,3,562,19209,243515,1221767,488591.66,1117.78,12.50,5.00,2.50
576,21/10/2010,15,21,25,06,12,10,08,13,18,16,19,17,09,23,11,2,458,15938,223371,1245607,761051.27,1424.30,12.50,5.00,2.50
577,25/10/2010,08,16,15,04,03,02,22,10,19,01,23,05,21,18,12,2,507,23593,209147,1185808,828762.36,1401.12,12.50,5.00,2.50
578,28/10/2010,10,08,21,19,22,06,16,04,23,07,15,12,01,14,13,2,397,14876,185023,1069786,904717.13,1953.33,12.50,5.00,2.50
579,01/11/2010,06,07,14,24,17,20,19,13,10,01,08,21,03,05,12,4,872,22931,240902,1207526,359931.80,1010.85,12.50,5.00,2.50
580,04/11/2010,06,21,13,12,08,07,16,10,09,25,01,04,17,14,24,4,305,12594,181480,1062602,438982.21,2467.35,12.50,5.00,2.50
581,08/11/2010,11,19,04,09,18,23,13,21,02,25,14,06,12,17,15,8,1077,29297,302521,1395685,160241.06,728.74,12.50,5.00,2.50
582,11/11/2010,12,08,18,17,25,23,03,10,07,19,21,09,15,13,11,5,1168,62827,372211,1556302,125093.87,327.85,12.50,5.00,2.50
583,16/11/2010,11,04,07,17,14,19,18,01,09,23,03,16,21,24,08,1,798,22000,207198,1075231,1266644.04,971.79,12.50,5.00,2.50
584,18/11/2010,07,21,23,14,06,10,02,05,11,19,22,20,08,03,15,3,441,13027,167793,961223,562616.10,1640.28,12.50,5.00,2.50
585,22/11/2010,01,08,13,17,14,15,20,16,18,24,09,23,07,05,10,3,450,16309,225856,1231405,502480.27,1435.66,12.50,5.00,2.50
586,25/11/2010,25,07,12,04,24,18,11,17,06,03,19,22,08,16,02,7,631,19089,224945,1110458,226653.62,1077.59,12.50,5.00,2.50
587,29/11/2010,01,05,13,21,20,19,07,18,23,11,17,10,09,04,12,4,980,29881,334590,1495137,210422.78,525.83,12.50,5.00,2.50
588,02/12/2010,25,17,04,14,05,11,18,19,23,12,24,01,07,13,20,2,434,17732,261699,1400021,711241.44,1404.69,12.50,5.00,2.50
589,06/12/2010,04,25,21,23,13,06,12,09,10,03,02,24,08,22,20,3,359,13955,218339,1203285,634634.41,2272.86,12.50,5.00,2.50
590,09/12/2010,09,20,15,06,16,19,11,03,01,13,10,21,04,18,14,2,504,16570,219440,1203971,900878.09,1532.11,12.50,5.00,2.50
591,13/12/2010,20,07,02,16,14,11,08,21,17,19,01,10,23,04,15,3,796,24433,242703,1214464,543400.89,1253.87,12.50,5.00,2.50
592,16/12/2010,19,16,18,22,20,05,08,17,01,09,03,14,15,06,10,0,315,14618,190335,1147118,0.00,2567.78,12.50,5.00,2.50
593,20/12/2010,23,24,15,14,06,10,11,25,13,03,04,05,01,09,20,4,622,22988,295679,1649560,934664.56,1275.61,12.50,5.00,2.50
594,23/12/2010,11,02,23,18,25,20,07,14,13,16,09,06,15,03,10,4,627,24729,241352,1268817,368981.88,1441.19,12.50,5.00,2.50
595,27/12/2010,06,08,07,21,17,19,25,10,24,15,12,11,05,01,09,3,441,17892,227692,1213860,403768.38,1177.17,12.50,5.00,2.50
596,30/12/2010,11,19,08,10,25,22,20,12,17,07,23,09,03,18,02,7,570,21506,266520,1246576,200409.07,1054.79,12.50,5.00,2.50
597,03/01/2011,05,01,14,16,08,03,17,10,25,02,18,09,11,22,24,5,423,16975,175807,973590,293731.66,1488.00,12.50,5.00,2.50
598,06/01/2011,05,14,03,19,01,07,12,18,22,25,11,21,15,04,20,2,367,15591,215022,1217684,879761.64,2054.72,12.50,5.00,2.50
599,10/01/2011,12,05,24,16,09,20,02,23,21,13,06,18,07,22,04,2,880,25267,242911,1212629,806835.12,1122.68,12.50,5.00,2.50
600,13/01/2011,09,11,25,17,16,18,10,19,05,06,08,22,01,23,03,1,446,18792,264016,1311553,1508680.72,1449.73,12.50,5.00,2.50
601,17/01/2011,12,09,13,10,25,16,14,03,20,01,07,19,11,05,06,1,412,17057,233981,1391101,1549579.97,1611.91,12.50,5.00,2.50
602,20/01/2011,09,18,25,12,05,07,10,01,08,06,11,02,23,22,13,3,380,15543,202872,1287103,531250.27,1797.46,12.50,5.00,2.50
603,24/01/2011,08,06,23,13,22,12,19,20,02,15,04,21,16,05,10,9,1056,25773,261450,1219712,173128.62,903.38,12.50,5.00,2.50
604,27/01/2011,15,01,07,25,09,12,13,18,14,02,24,22,06,19,20,3,506,18012,211005,1136698,549733.20,1396.84,12.50,5.00,2.50
605,31/01/2011,05,21,25,02,18,04,14,23,07,11,03,13,16,17,10,2,672,22418,238557,1242808,692423.30,1261.70,12.50,5.00,2.50
606,03/02/2011,03,25,14,16,06,02,18,08,22,12,24,10,07,23,15,2,534,21419,252623,1205679,805752.09,1293.35,12.50,5.00,2.50
607,07/02/2011,20,19,16,17,25,09,22,24,12,21,15,03,18,05,07,3,523,19073,242004,1275101,521465.47,1281.94,12.50,5.00,2.50
608,10/02/2011,19,13,10,18,25,23,01,14,08,03,16,07,05,02,17,3,577,22142,288028,1426372,420262.01,1337.79,12.50,5.00,2.50
609,14/02/2011,23,14,19,04,11,01,07,16,20,12,09,02,25,15,10,2,776,24054,258435,1294077,786997.78,1241.84,12.50,5.00,2.50
610,17/02/2011,10,22,02,16,13,01,25,21,14,07,15,04,06,08,12,2,333,16464,193384,1130653,926468.20,2384.73,12.50,5.00,2.50
